Name,Group Number,Day,Dates,Start Time,End Time,Location,Type,Teacher
GEL4152-Hiver2024-A,0,Mardi,Du 15 jan. 2024 au 26 avr. 2024,13h30,16h20,Adrien-Pouliot 2544,En classe,N/A
GEL4152-Hiver2024-A,0,Jeudi,Du 15 jan. 2024 au 26 avr. 2024,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL4152-Hiver2023-C,0,Mardi,Du 10 jan. 2023 au 21 avr. 2023,13h30,16h20,Adrien-Pouliot 2783,En classe,N/A
GEL4152-Hiver2023-C,0,Jeudi,Du 10 jan. 2023 au 21 avr. 2023,13h30,16h20,Adrien-Pouliot 2128,Laboratoire,N/A
GEL4200-Automne2024-A,0,Mardi,Du 3 sept. 2024 au 13 déc. 2024,13h30,15h20,Adrien-Pouliot 2569,Sur Internet,Leslie Rusch
GEL4200-Automne2023-B,0,Mardi,Du 5 sept. 2023 au 15 déc. 2023,13h30,15h20,Adrien-Pouliot 2569,Sur Internet,N/A
GEL4200-Automne2022-C,0,Mardi,Du 6 sept. 2022 au 16 déc. 2022,13h30,15h20,Adrien-Pouliot 2569,Sur Internet,N/A
GEL4201-Hiver2024-A,0,Jeudi,Du 15 jan. 2024 au 26 avr. 2024,13h30,16h20,Adrien-Pouliot 2544,En classe,N/A
GEL4201-Hiver2024-A,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Laboratoire,N/A
GEL4201-Hiver2023-C,0,Lundi,Du 10 jan. 2023 au 21 avr. 2023,9h30,12h20,Adrien-Pouliot 2500,En classe,N/A
GEL4201-Hiver2023-C,0,N/A,Du 10 jan. 2023 au 21 avr. 2023,N/A,N/A,N/A,Laboratoire,N/A
GEL4202-Hiver2024-A,0,Mercredi,Du 15 jan. 2024 au 26 avr. 2024,10h30,11h20,Adrien-Pouliot 2508,En classe,N/A
GEL4202-Hiver2023-B,0,Mercredi,Du 10 jan. 2023 au 21 avr. 2023,10h30,11h20,Adrien-Pouliot 4108,En classe,N/A
GEL4203-Automne2024-A,0,Mercredi,Du 3 sept. 2024 au 13 déc. 2024,12h30,15h20,Adrien-Pouliot 2903,En classe,Wei Shi
GEL4203-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Laboratoire,Wei Shi
GEL4203-Automne2023-C,0,Mercredi,Du 5 sept. 2023 au 15 déc. 2023,12h30,15h20,Adrien-Pouliot 2903,En classe,N/A
GEL4203-Automne2023-C,0,N/A,Du 5 sept. 2023 au 15 déc. 2023,N/A,N/A,N/A,Laboratoire,N/A
GEL4203-Automne2022-E,0,Mercredi,Du 6 sept. 2022 au 16 déc. 2022,12h30,15h20,Adrien-Pouliot 2569,En classe,N/A
GEL4203-Automne2022-E,0,N/A,Du 6 sept. 2022 au 16 déc. 2022,N/A,N/A,N/A,Laboratoire,N/A
GEL4250-Hiver2023-A,0,Mercredi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2512,En classe,N/A
GEL4250-Hiver2022-B,0,Mercredi,Du 10 jan. 2022 au 22 avr. 2022,8h30,11h20,Adrien-Pouliot 2510,En classe,N/A
GEL4251-Hiver2024-A,0,Jeudi,Du 15 jan. 2024 au 26 avr. 2024,8h30,11h20,Adrien-Pouliot 2512,En classe,N/A
GEL4251-Hiver2023-B,0,Jeudi,Du 10 jan. 2023 au 21 avr. 2023,8h30,11h20,Adrien-Pouliot 2903,En classe,N/A
GEL4799-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Sur Internet,Jérôme Cros
GEL4799-Hiver2024-B,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Sur Internet,N/A
GEL4799-Automne2023-C,0,N/A,Du 5 sept. 2023 au 15 déc. 2023,N/A,N/A,N/A,Sur Internet,N/A
GEL6001-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Lectures dirigées,Paul Fortier
GEL6001-Ete2024-B,0,N/A,Du 6 mai 2024 au 16 août 2024,N/A,N/A,N/A,Lectures dirigées,N/A
GEL6001-Hiver2024-C,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Lectures dirigées,N/A
GEL6500-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Essai,Leslie Rusch
GEL6500-Ete2024-B,0,N/A,Du 6 mai 2024 au 16 août 2024,N/A,N/A,N/A,Essai,N/A
GEL6500-Hiver2024-C,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Essai,N/A
GEL6811-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6811-Ete2024-B,0,N/A,Du 6 mai 2024 au 16 août 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6811-Hiver2024-C,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6812-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6812-Ete2024-B,0,N/A,Du 6 mai 2024 au 16 août 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6812-Hiver2024-C,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6813-Automne2024-A,0,N/A,Du 3 sept. 2024 au 13 déc. 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6813-Ete2024-B,0,N/A,Du 6 mai 2024 au 16 août 2024,N/A,N/A,N/A,Crédits de recherche,N/A
GEL6813-Hiver2024-C,0,N/A,Du 15 jan. 2024 au 26 avr. 2024,N/A,N/A,N/A,Crédits de recherche,N/A
